Employee_id,firstname,lastname,email,title,Total number of leaves,Leaves left
50,Jennifer,May,jenni.may@vaughn.biz,Junior Engineer,12,12
51,Robert,Reed,rober.reed@charles.info,Junior Engineer,12,12
52,Richard,Willis,richa.willi@martinez.com,Junior Engineer,12,12
53,Nicholas,Harvey,nicho.harve@west.biz,Junior Engineer,12,12
54,Jay,Lewis,jay.lewis@best.biz,Junior Engineer,12,12
55,Alison,Nelson,aliso.nelso@wheeler.com,Junior Engineer,12,12
56,Mary,Perez,mary.perez@watts-nelson.com,Junior Engineer,12,12
57,Christina,Anderson,chris.ander@williamson.info,Junior Engineer,12,12
58,Jessica,Clarke,jessi.clark@holt.net,Junior Engineer,12,12
59,Louis,Floyd,louis.floyd@shelton.com,Junior Engineer,12,12
60,Kathy,Lee,kathy.lee@moore.org,Junior Engineer,12,12
61,Matthew,Fisher,matth.fishe@smith-cruz.com,Junior Engineer,12,12
62,Charles,Massey,charl.masse@andrews.com,Junior Engineer,12,12
63,Kristine,Robinson,krist.robin@diaz.com,Junior Engineer,12,12
64,Emily,Young,emily.young@bolton.org,Junior Engineer,12,12
65,Jorge,Griffith,jorge.griff@norton-frank.biz,Junior Engineer,12,12
66,Taylor,Wells,taylo.wells@smith.com,Junior Engineer,12,12
67,Kathleen,Lee,kathl.lee@goodman.com,Junior Engineer,12,12
68,Tiffany,Walters,tiffa.walte@morgan.com,Junior Engineer,12,12
69,Karen,Page,karen.page@smith-galvan.info,Junior Engineer,12,12
70,Frank,Moreno,frank.moren@olson-morales.net,Junior Engineer,12,12
71,Gregory,Reynolds,grego.reyno@white.org,Technical Lead,12,12
72,Jason,Campbell,jason.campb@hinton-peters.com,Technical Lead,12,12
73,Pamela,Peterson,pamel.peter@gonzalez.com,Technical Lead,12,12
74,Marcia,Tucker,marci.tucke@king.com,Technical Lead,12,12
75,Natasha,Hernandez,natas.herna@macias.com,Technical Lead,12,12
76,Kimberly,Wells,kimbe.wells@sims-patton.org,Technical Lead,12,12
77,Mario,Hall,mario.hall@flowers.com,Technical Lead,12,12
78,Michael,Edwards,micha.edwar@walls.biz,Technical Lead,12,12
79,Jamie,Mccarthy,jamie.mccar@medina.org,Technical Lead,12,12
80,Shawn,Bird,shawn.bird@lutz.net,Technical Lead,12,12
81,Aaron,Vasquez,aaron.vasqu@moss.net,Technical Lead,12,12
82,Jacob,Thomas,jacob.thoma@blake-rios.com,Technical Lead,12,12
83,Holly,Kelly,holly.kelly@hall.com,Technical Lead,12,12
84,Brittany,Munoz,britt.munoz@owens-warren.info,Technical Lead,12,12
85,Carol,Berg,carol.berg@wilson-stark.info,Technical Lead,12,12
86,Brittany,Allen,britt.allen@best-myers.net,Project Manager,15,15
87,Kelly,Ellis,kelly.ellis@savage.net,Project Manager,15,15
88,Michael,Hunter,micha.hunte@nelson.com,Project Manager,15,15
89,Wayne,Burke,wayne.burke@bennett.com,Project Manager,15,15
90,Kenneth,Martinez,kenne.marti@wilkinson-stokes.org,Project Manager,15,15
91,Amy,Smith,amy.smith@clark.com,Project Manager,15,15
92,Emily,Howard,emily.howar@stone.com,Project Manager,15,15
93,Margaret,Perez,marga.perez@brennan.com,Project Manager,15,15
94,Trevor,Gilmore,trevo.gilmo@black-sanders.com,Project Manager,15,15
95,Jordan,Bennett,jorda.benne@smith.biz,Project Manager,15,15
96,Susan,Smith,susan.smith@manning.com,Project Manager,15,15
97,Krista,Lewis,krist.lewis@sanchez.com,Project Manager,15,15
98,Danielle,Jones,danie.jones@thomas.com,Project Manager,15,15
99,Melinda,Morgan,melin.morga@smith-wright.com,Project Manager,15,15
100,Penny,Snyder,penny.snyde@black.net,Project Manager,15,15
